engine_id,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,cycle_norm,RUL
1,-0.0007,-0.0004,641.82,1589.7,1400.6,21.61,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392,39.06,23.419,0.005208333333333333,125
1,0.0019,-0.0003,642.15,1591.82,1403.14,21.61,553.75,2388.04,9044.07,47.49,522.28,2388.07,8131.49,8.4318,392,39.0,23.4236,0.010416666666666666,125
1,-0.0043,0.0003,642.35,1587.99,1404.2,21.61,554.26,2388.08,9052.94,47.27,522.42,2388.03,8133.23,8.4178,390,38.95,23.3442,0.015625,125
1,0.0007,0.0,642.35,1582.79,1401.87,21.61,554.45,2388.11,9049.48,47.13,522.86,2388.08,8133.83,8.3682,392,38.88,23.3739,0.020833333333333332,125
1,-0.0019,-0.0002,642.37,1582.85,1406.22,21.61,554.0,2388.06,9055.15,47.28,522.19,2388.04,8133.8,8.4294,393,38.9,23.4044,0.026041666666666668,125
1,-0.0043,-0.0001,642.1,1584.47,1398.37,21.61,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,391,38.98,23.3669,0.03125,125
1,0.001,0.0001,642.48,1592.32,1397.77,21.61,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,392,39.1,23.3774,0.036458333333333336,125
1,-0.0034,0.0003,642.56,1582.96,1400.97,21.61,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,391,38.97,23.3106,0.041666666666666664,125
1,0.0008,0.0001,642.12,1590.98,1394.8,21.61,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,392,39.05,23.4066,0.046875,125
1,-0.0033,0.0001,641.71,1591.24,1400.46,21.61,553.59,2388.05,9051.7,47.03,521.79,2388.06,8129.38,8.4286,393,38.95,23.4694,0.052083333333333336,125
1,0.0018,-0.0003,642.28,1581.75,1400.64,21.61,554.54,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,392,38.94,23.4787,0.057291666666666664,125
1,0.0016,0.0002,642.06,1583.41,1400.15,21.61,554.52,2388.09,9049.37,47.18,521.8,2388.02,8134.25,8.3938,391,39.06,23.366,0.0625,125
1,-0.0019,0.0004,643.07,1582.19,1400.83,21.61,553.44,2388.12,9046.82,47.38,521.85,2388.08,8128.1,8.4152,393,38.93,23.2757,0.06770833333333333,125
1,0.0009,-0.0,642.35,1592.95,1399.16,21.61,554.48,2388.09,9047.37,47.44,521.67,2388.0,8134.43,8.3964,393,39.18,23.3826,0.07291666666666667,125
1,-0.0018,-0.0003,642.43,1583.82,1402.13,21.61,553.64,2388.11,9052.22,47.3,522.5,2388.08,8127.56,8.4199,391,38.99,23.35,0.078125,125
1,0.0006,0.0005,642.13,1587.98,1404.5,21.61,553.94,2388.05,9049.34,47.24,521.49,2388.07,8136.11,8.3936,392,38.97,23.455,0.08333333333333333,125
1,0.0002,0.0002,642.58,1584.96,1399.95,21.61,553.8,2388.06,9054.92,47.12,521.89,2388.04,8137.27,8.4542,392,38.81,23.3319,0.08854166666666667,125
1,-0.0031,-0.0001,642.62,1591.04,1396.12,21.61,554.2,2388.05,9049.55,47.21,521.76,2388.07,8132.73,8.4028,392,38.89,23.3987,0.09375,125
1,0.0032,-0.0003,641.79,1587.56,1400.35,21.61,554.18,2388.04,9053.99,47.4,521.89,2388.03,8129.13,8.4321,391,38.8,23.3464,0.09895833333333333,125
1,-0.0037,0.0001,643.04,1581.11,1405.23,21.61,554.81,2388.05,9045.9,47.22,522.07,2388.02,8129.71,8.421,392,39.03,23.422,0.10416666666666667,125
1,-0.0012,0.0001,642.37,1586.07,1398.13,21.61,554.08,2388.11,9048.15,47.15,522.42,2388.08,8134.02,8.4049,392,39.09,23.3101,0.109375,125
1,0.0002,0.0,642.77,1592.93,1400.57,21.61,553.63,2388.04,9061.21,47.24,522.0,2388.03,8130.41,8.4034,392,38.92,23.3792,0.11458333333333333,125
1,0.0034,-0.0003,642.14,1588.19,1394.75,21.61,553.98,2388.05,9046.28,47.25,521.52,2388.05,8127.9,8.424,392,38.94,23.4562,0.11979166666666667,125
1,-0.001,0.0003,642.38,1590.83,1398.81,21.61,553.49,2388.12,9043.76,47.44,522.13,2388.03,8133.88,8.3891,392,39.0,23.3696,0.125,125
